index,0,1,2,3,4,5
0,,,,,,
1,"2212 - THEVENARD Xavier
ASICS",SEH,1,20:34:57,00:00:00,Francia
2,"2202 - HERAS HERNANDEZ Miguel Angel
SALOMON",SEH,2,20:54:08,00:19:11,España
3,"12 - DOMINGUEZ LEDO Javier
KIROLAK-CM GAZTEIZ",SEH,3,21:17:38,00:42:41,España
4,"2203 - OLSON Timothy
THE NORTH FACE",SEH,4,21:38:23,01:03:26,Estados Unidos
5,"3 - FOOTE Mike
THE NORTH FACE",SEH,5,21:53:19,01:18:22,Estados Unidos
6,2206 - CHORIER Julien,SEH,6,22:08:11,01:33:14,Francia
7,"44 - BOSIO Rory
THE NORTH FACE",SEF,1,22:37:26,02:02:29,Estados Unidos
8,"23 - COLLOMB-PATTON Bertrand
CAEN ATHLETIC CLUB",SEH,7,23:14:16,02:39:19,Francia
9,"8 - LEJEUNE Arnaud
TEAM HOKA, LOU TAVAN",SEH,8,23:18:05,02:43:08,Francia
10,14 - TIDD John,V2H,1,23:18:27,02:43:30,España
11,"2207 - BRAGG Jez
THE NORTH FACE",SEH,9,23:50:01,03:15:04,Reino Unido
12,"20 - MOALIC Ronan
Team VIBRAM",V1H,1,23:54:04,03:19:07,Francia
13,"2210 - TAMANG Aite
Nepalese Army",SEH,10,23:57:22,03:22:25,Nepal
14,"2645 - BROGNIART Stéphane
THE NORTH FACE",SEH,11,24:02:11,03:27:14,Francia
15,"3692 - JOHANSSON Johan
TRANGSVIKEN",SEH,12,24:05:33,03:30:36,Suecia
16,"2226 - MAYER Alexandre
RAID LIGHT",SEH,13,24:05:34,03:30:37,Francia
17,"73 - JAMES Andrew
SALOMON / NEWBURY ATHLETICS CLUB",SEH,14,24:14:37,03:39:40,Reino Unido
18,"2227 - TSANG Siu Keung
THE NORTH FACE",SEH,15,24:15:58,03:41:01,HK
19,"2251 - PICAS Núria
BUFF",SEF,2,24:32:20,03:57:23,España
20,"29 - KEITH Eoin
Ultrarunning Ireland",V1H,2,24:44:12,04:09:15,Irlanda
21,"37 - ROCA Emma
CEC",V1F,1,24:48:14,04:13:17,España
22,"2241 - CALISTO Gonzalo
UNIVERSIDAD SAN FRANCISCO",SEH,16,25:18:26,04:43:29,Ecuador
23,"2651 - HORST Daniel
MÜCKE & MCLANE - GROJOS LTF ELVERSBERG",SEH,17,25:23:37,04:48:40,Alemania
24,"54 - JOUBAND Frederic
ROUTE ET SENTIER",V1H,3,25:25:05,04:50:08,Francia
25,"4335 - IRAIZOZ Aitor
TXURREGI",SEH,18,25:28:26,04:53:29,España
26,"3268 - HABEMONT Jean-Lou
JOGGING CLUB SEYSSOIS",SEH,19,25:34:28,04:59:31,Francia
27,"24 - KADUNC David
SALOMON TEAM - TEKASKI FORUM",SEH,20,25:35:39,05:00:42,Eslovenia
28,"3269 - SAEZ MARQUES Francisco
GR33-TOTTRAIL",SEH,21,25:40:27,05:05:30,España
29,"2246 - DROZ Gaël
CLUB ATHLETIQUE COURTELARY",SEH,22,25:47:12,05:12:15,Suiza
30,"4486 - SOLE DUOCASTELLA Francesc
A.E.MATXACUCA",SEH,23,25:59:30,05:24:33,España
31,"33 - GIRAUD-SAUVEUR Herve
TEAM LAFUMA",V1H,4,26:07:15,05:32:18,Francia
32,"4801 - DILMI LUDOVIC
XTREM RUNNING TRAIL",V1H,5,26:22:55,05:47:58,Francia
33,3444 - SAENZ Martin,SEH,24,26:26:46,05:51:49,Ecuador
34,"55 - BURNET Jean
CMBM",SEH,25,26:27:33,05:52:36,Francia
35,"226 - COLACO Joao
NEL - Pédatleta",SEH,26,26:33:03,05:58:06,Portugal
36,2220 - TUCKEY Andrew,SEH,27,26:33:59,05:59:02,Australia
37,"4575 - GRASEL Florian
SHARXX ALPINE TEAM",SEH,28,26:37:18,06:02:21,Austria
