index,0,1,2,3,4,5
0,,,,,,
1,"4048 - JORNET BURGADA Kilian
SALOMON SANTIVERI",ESH,1,20:56:59,00:00:00.000000,España
2,"5 - SHERPA Dachhiri-Dawa
LES TRAILLEURS DU MT BLANC",SEH,1,21:56:52,00:59:53.000000,Nepal
3,"2176 - CHORIER Julien
EAC ACTIVASPORT",SEH,2,22:31:35,01:34:36.000000,Francia
4,"4051 - KABURAKI Tsuyoshi
THE NORTH FACE",V1H,1,23:10:47,02:13:48.000000,Japón
5,"3399 - ROMON MARTINEZ Jesus Maria
MELLO MENDI TALDEA",SEH,3,23:41:28,02:44:29.000000,España
6,"11 - GUILLON Antoine
TEAM LAFUMA-GREEN MAGMA- GO2-TAILL'AVENTURE",SEH,4,23:57:28,03:00:29.000000,Francia
7,"13 - GIRARD Matthieu
UFO",SEH,5,24:19:57,03:22:58.000000,Suiza
8,"2801 - NEMETH Csaba
NOMADSPORT",V1H,2,24:21:02,03:24:03.000000,Hungría
9,2904 - CALMBACH Ulrich,V1H,3,24:21:20,03:24:21.000000,Alemania
10,"3407 - TAGLIAFERRI Massimo
POLISPORTIVA PAGNONA",SEH,6,24:24:22,03:27:23.000000,Italia
11,"24 - GAYLORD Topher
THE NORTH FACE",SEH,7,24:55:31,03:58:32.000000,Estados Unidos
12,"3552 - GROSS Ulrich
TEAM TELMEKOM SUDTIROL",SEH,8,25:06:04,04:09:05.000000,Italia
13,"3597 - CALVO REDONDO Salvador
ULTRARUN",V1H,4,25:08:05,04:11:06.000000,España
14,4009 - HAWKER Elisabeth,SEF,1,25:19:41,04:22:42.000000,Reino Unido
15,"4057 - OLIVAR ROLDAN Aurelio-Antonio
TRAIL MAGAZINE",V1H,5,25:22:39,04:25:40.000000,España
16,2650 - RANKIN Andrew,SEH,9,25:37:10,04:40:11.000000,Reino Unido
17,2770 - CHALLIER Jerome,SEH,9,25:37:10,04:40:11.000000,Francia
18,3160 - HUG Bernhard,SEH,11,25:39:05,04:42:06.000000,Suiza
19,"18 - BLANC Pascal
LAFUMA",V1H,6,25:42:21,04:45:22.000000,Francia
20,"4039 - CHAIGNEAU Sebastien
THE NORTH FACE",SEH,12,25:42:21,04:45:22.000000,Francia
