index,0,1,2,3,4,5
0,,,,,,
1,"8 - THEVENARD Xavier
ASICS",SEH,1,21:09:15,00:00:00,Francia
2,"3 - HERNANDO ALZAGA Luis Alberto
ADIDAS TRAIL RUNNING",SEH,2,21:57:17,00:48:02,España
3,"7 - LANEY David
NIKE TRAIL ELITE",SEH,3,21:59:42,00:50:27,Estados Unidos
4,"14 - SWANSON Seth
THE NORTH FACE",SEH,4,22:00:10,00:50:55,Estados Unidos
5,"15 - ANTOLINOS Fabien
DMA TERRE DE RUNNING",SEH,6,22:28:26,01:19:11,Francia
6,"43 - CLAVERY Erik
TEAM ADIDAS",SEH,7,22:45:28,01:36:13,Francia
7,"48 - SOLE DUOCASTELLA Francesc
A.E.MATXACUCA",SEH,8,22:53:23,01:44:08,España
8,"34 - SMITH Ryan
ROCKY MOUNTAIN RUNNERS",SEH,9,23:10:07,02:00:52,Reino Unido
9,"45 - MAYER Alexandre
ISOSTAR LES SASIES",SEH,10,23:44:53,02:35:38,Francia
10,"113 - HERCOG Piotr
SALOMON SUUNTO POLAND",SEH,11,24:10:54,03:01:39,Polonia
11,161 - DOI Takashi,SEH,12,24:21:11,03:11:56,Japón
12,"82 - GAMITO Jordi
HOKA TEAM",SEH,13,24:32:11,03:22:56,España
13,"124 - AZPIROZ AZPIROZ Ion
ALDIN KULTUR TALDEA",SEH,14,24:38:37,03:29:22,España
14,"94 - JIMENEZ LLORENS Juan Maria
GREEN POWER sports team",SEH,15,24:40:19,03:31:04,España
15,"77 - TIDD John
HOKA",V2H,1,24:42:20,03:33:05,España
16,"152 - MOALIC Ronan
TEAM VIBRAM",V1H,1,24:49:28,03:40:13,Francia
17,"64 - TSANG Siu Keung
CHAMPION SYSTEM ADVENTURE",SEH,16,24:56:25,03:47:10,HK
18,"67 - TEIXEIRA Armando Jorge
SALOMON-SUUNTO PORTUGAL",V1H,2,25:08:49,03:59:34,Portugal
19,"17 - MAUCLAIR Nathalie
FREERUN",V1F,1,25:15:33,04:06:18,Francia
20,"188 - CASADELLA GARDELLA Jordi
TRC ARESTA",SEH,17,25:41:52,04:32:37,España
21,"33 - MORALES RAMIREZ Gerard
BUFF PRO TEAM",V1H,3,25:41:53,04:32:38,España
22,87 - BACKHAUSEN Majell,SEH,18,25:43:26,04:34:11,Australia
23,"214 - MACCHI Andrea
ATLETICA GAVIRATE",SEH,19,25:55:25,04:46:10,Italia
24,135 - MOTSCH Mathieu,V1H,4,25:56:54,04:47:39,Francia
25,"103 - COLLISON Kim
Raidlight UK",SEH,20,26:01:36,04:52:21,Reino Unido
26,"202 - GRAZIELLI Davide
ZERO RUNNING COMPANY",V1H,5,26:03:53,04:54:38,Italia
27,101 - ROUANET Renaud,SEH,21,26:14:02,05:04:47,Francia
28,"132 - MOLIN Ivano
TEAM SCARPA - U.S. TRE CIME",V1H,6,26:15:00,05:05:45,Italia
29,2608 - RIZZOTTO Julien,SEH,22,26:29:33,05:20:18,Francia
30,"25 - FRAILE AZPEITIA Uxue
TEAM VIBRAM",V1F,2,26:29:35,05:20:20,España
31,"406 - HALL Damian
CORSHAM RUNNING CLUB",V1H,7,26:41:46,05:32:31,Reino Unido
32,"213 - GRASEL Florian
SHARXX ALPINE TEAM",SEH,23,26:54:15,05:45:00,Austria
33,"53 - DIPPACHER Matthias
TEAM DYNAFIT",SEH,24,26:54:17,05:45:02,Alemania
34,"182 - RUSIN Kirill
SIBIRIA",SEH,25,26:54:53,05:45:38,Rusia
