index,0,1,2,3,4,5
0,,,,,,
1,"1 - JORNET BURGADA Kilian
SALOMON SANTIVERI",ESH,1,21:33:18,00:00:00.000000,España
2,20 - CHAIGNEAU Sebastien,SEH,1,22:36:45,01:03:27.000000,Francia
3,"4 - KABURAKI Tsuyoshi
THE NORTH FACE JAPAN",V1H,1,22:48:36,01:15:18.000000,Japón
4,"9 - CALMBACH Ulrich
DAV GOPPINGEN",V1H,2,23:10:49,01:37:31.000000,Alemania
5,"2191 - TRIVEL Lionel
ATOUSPORT",SEH,2,23:34:28,02:01:10.000000,Francia
6,"3951 - YOKOYAMA Minehiro
THE NORTH FACE JAPAN",V1H,3,23:36:14,02:02:56.000000,Japón
7,"8 - NEMETH Csaba
NOMADSPORT",V1H,4,23:45:56,02:12:38.000000,Hungría
8,"2782 - YAMAMOTO Kenichi
HAGLOFS",SEH,3,24:17:49,02:44:31.000000,Japón
9,"3802 - GIRAUD-SAUVEUR Herve
TEAM LAFUMA",V1H,5,24:43:26,03:10:08.000000,Francia
10,"2074 - HOHENADLER Armin
TV TRAUNSTEIN",SEH,4,24:50:39,03:17:21.000000,Alemania
11,"2477 - MOEHL Kristin
PATAGONIA ULTRARUNNING TEAM",SEF,1,24:56:01,03:22:43.000000,Estados Unidos
12,2144 - REY Patrick,V1H,6,25:19:18,03:46:00.000000,Francia
13,3713 - VILLIERS Jim,SEH,5,25:25:29,03:52:11.000000,Australia
14,"23 - MARTINEZ DE MARSAY Jordi
Unió Excursionista de Cataluña Prat de Llobregat",SEH,6,25:31:43,03:58:25.000000,España
15,"21 - BAUMANN Ryan
SWISS SKI",SEH,7,25:42:20,04:09:02.000000,Suiza
16,"6 - GUILLON Antoine
TEAM LAFUMA- GREEN MAGMA- GO2",SEH,8,25:45:40,04:12:22.000000,Francia
17,"58 - ROBRES MONFORTE Francisco
SUS SCROFA",SEH,9,25:53:48,04:20:30.000000,España
18,14 - HAWKER Elisabeth,SEF,2,26:04:42,04:31:24.000000,Reino Unido
19,4073 - JUREK Scott,SEH,10,26:07:15,04:33:57.000000,Estados Unidos
20,2118 - GRANT Joe,SEH,11,26:07:16,04:33:58.000000,Estados Unidos
21,3628 - BAUD Patrice,V1H,7,26:20:42,04:47:24.000000,Francia
22,"3203 - MILLS Stuart
BRIGHTON AND HOVE ATHLETIC CLUB",V1H,8,26:29:13,04:55:55.000000,Reino Unido
23,"2499 - CERCUEIL Michel
CAF ISERE",SEH,12,26:31:13,04:57:55.000000,Francia
24,"11 - GAYLORD Topher
THE NORTH FACE",V1H,9,26:47:28,05:14:10.000000,Estados Unidos
25,"107 - NALIN Guillaume
XTTR 63 LE MONT DORE",SEH,13,26:51:33,05:18:15.000000,Francia
26,2266 - SCHNEIDER Christian,SEH,14,27:02:48,05:29:30.000000,Suiza
27,"229 - GABIOUD Jules-Henri
LA FOULY Trailers OVERSTIMS",ESH,2,27:06:21,05:33:03.000000,Suiza
28,3179 - PILLONEL Etienne,SEH,15,27:16:33,05:43:15.000000,Suiza
29,"132 - BUCEK Igor
HUDY SPORT",V1H,10,27:23:50,05:50:32.000000,Eslovaquia
30,"41 - FARANO Sebastien
MARATHONIEN SPORT - LAFUMA",SEH,16,27:26:10,05:52:52.000000,Francia
31,"3151 - BOTTOLLIER Bruno
SALLANCHES",V1H,11,27:31:02,05:57:44.000000,Francia
32,"4003 - FEDEL Silvano
TRIATHLON TRENTINO - SALOMON",V1H,12,27:44:37,06:11:19.000000,Italia
33,"3827 - PATUREL Marc
SPORT NATURE VILLE LA GRAND",SEH,17,27:46:10,06:12:52.000000,Francia
34,"56 - BALDUCHELLI Yan
GIRAFFE TEAM",SEH,18,27:46:31,06:13:13.000000,Suiza
35,"3892 - LUKAS Jens
LSG KARLSRUHE",V1H,13,27:52:08,06:18:50.000000,Alemania
36,"3413 - JULIA BONMATI Arnau
BUFF-COOLMAX",SEH,19,27:53:52,06:20:34.000000,España
37,47 - GUERAUD Laurent,V1H,14,27:57:41,06:24:23.000000,Francia
38,"95 - KARLOWITS-JUHASZ Tamas
NOMAD SPORT",SEH,20,28:00:14,06:26:56.000000,Hungría
39,"2142 - BRAGHINI Danilo
TRAIL RUNNING BRESCIA",V1H,15,28:00:47,06:27:29.000000,Italia
40,"112 - SAND yvan
UFO",SEH,21,28:03:47,06:30:29.000000,Francia
41,"2397 - MONPARLER MARTINEZ David
CORRIOL XTREME OLIVA",SEH,22,28:04:57,06:31:39.000000,España
42,"166 - VERHAEGHE Michel
ACW - OFF COURSE",SEH,23,28:08:08,06:34:50.000000,Francia
43,"3952 - CANTIN Frédéric
LES CHEVALIERS DU VENT - BATIBOIS ALSACE",SEH,24,28:11:01,06:37:43.000000,Francia
44,"76 - ICART Gilles
RACING LETI",V1H,16,28:17:21,06:44:03.000000,Francia
45,"49 - LEITNER Alois
AUSPO-TEAM",V1H,17,28:25:08,06:51:50.000000,Austria
46,3493 - ZERPA GUILLEN Jesus Agelvis,V1H,18,28:35:07,07:01:49.000000,Venezuela
47,2108 - COLLET Marcel,V2H,1,28:39:40,07:06:22.000000,Francia
48,"3361 - MAGLIANO Christophe
GRIMP AZUR",V1H,19,28:48:27,07:15:09.000000,Francia
49,"109 - CABANAS COMA Josep Maria
ESPORTS VIVAC - CAMPRODON",SEH,25,28:50:00,07:16:42.000000,España
50,"2190 - MERCHANTE ALFARO Agustin Angel
INDEPENDIENTE",V1H,20,28:57:59,07:24:41.000000,España
51,69 - RICHARD Yann,SEH,26,29:12:34,07:39:16.000000,Francia
52,2042 - RAMSTEIN Maxime,SEH,26,29:12:34,07:39:16.000000,Francia
53,3217 - BERTRAND Eric,V1H,21,29:16:55,07:43:37.000000,Francia
54,"4006 - RIDGWAY Iain
ERYRI",SEH,28,29:16:55,07:43:37.000000,Reino Unido
55,"4066 - AGUILERA VILADOMIU Monica
SALOMON SANTIVERI",SEF,3,29:17:31,07:44:13.000000,España
56,2008 - BERRUER Eric,SEH,29,29:18:24,07:45:06.000000,Francia
57,"2613 - ALMGREN Tor
FK STUDENTERNA",V1H,22,29:18:46,07:45:28.000000,Suecia
58,"2758 - ABBOTT Rafael Derwin
LA FAIXA",SEH,30,29:26:47,07:53:29.000000,Reino Unido
59,3518 - CIAPA Philippe,V1H,23,29:27:55,07:54:37.000000,Francia
60,"2760 - CAIRNS George
LOCHABER A.C.",V1H,24,29:33:37,08:00:19.000000,Reino Unido
61,2897 - BARE Frederic,SEH,31,29:40:24,08:07:06.000000,Francia
62,"3545 - VALLEJO RODRIGUEZ Santiago
GUARDABOSQUES-UBIETAMENDI",SEH,32,29:41:19,08:08:01.000000,España
63,"2885 - MEIER Christophe
SC CHASSERON",SEH,33,29:45:00,08:11:42.000000,Suiza
64,"2088 - KONSTAS Loukas
GREECE THIVA ULTRAMARATHON",V1H,25,29:47:06,08:13:48.000000,Grecia
65,2137 - PETROPOULOS Nikolaos,V1H,25,29:47:06,08:13:48.000000,Grecia
66,"3436 - CRIADO TOCA Pablo
G.M. TORRE DEL FRIERO",SEH,34,29:51:33,08:18:15.000000,España
67,3759 - BLONDEAU loic,SEH,35,29:52:12,08:18:54.000000,Francia
68,"3548 - MARTIN Rafael
TODOVERTICAL",V1H,27,29:52:14,08:18:56.000000,España
69,"2243 - BEREZIAT Jerome
HOT'Z",SEH,36,29:54:59,08:21:41.000000,Francia
70,"3148 - PERRET Jean-Pierre
TEAM SPORT ET NEIGE PONTARLIER RUNNING CONSEIL",SEH,37,29:59:13,08:25:55.000000,Francia
71,"3768 - MILLET Guillaume
LAFUMA TEAM",V1H,28,29:59:14,08:25:56.000000,Francia
72,3084 - ALVES LIMA Avelino,V1H,29,30:05:54,08:32:36.000000,Francia
73,293 - LOCATELLI Serge,V1H,30,30:14:55,08:41:37.000000,Francia
74,"3125 - BOINON Patrick
TEAM RUNNING CONSEIL LYON",V1H,30,30:14:55,08:41:37.000000,Francia
75,2040 - LAUBER Pascal,SEH,38,30:15:19,08:42:01.000000,Suiza
76,"4021 - ANGULO ROVIRA Raul
U.E.SABADELL",SEH,39,30:16:12,08:42:54.000000,España
77,"449 - BALLU Jérôme
MARCELLY AVENTURE",SEH,40,30:16:13,08:42:55.000000,Francia
78,"3887 - LE SAUX Christophe
LES CHEVALIERS DU VENT- Batibois Alsace",SEH,41,30:20:51,08:47:33.000000,Francia
79,178 - PIGEAULT Jean-Luc,V2H,2,30:23:27,08:50:09.000000,Francia
80,"3679 - RIGAUD Daniel
TSE ACTIVASPORT",SEH,42,30:24:51,08:51:33.000000,Francia
81,"4001 - BONNEFOUS Lionel
CPLP 12",SEH,43,30:24:54,08:51:36.000000,Francia
82,"2748 - BIOLLAZ daniel
LES TRAILERS DU MOLE",SEH,44,30:25:08,08:51:50.000000,Francia
83,"3874 - ROULT Didier
AS CALUIRE",V2H,3,30:25:16,08:51:58.000000,Francia
84,"2689 - PITTET Pascal
FITNESS-LIBERTY",V1H,32,30:31:11,08:57:53.000000,Suiza
85,3152 - FABRE Olivier,SEH,45,30:31:14,08:57:56.000000,Francia
86,2800 - ENGLUND Timothy,V1H,33,30:31:29,08:58:11.000000,Estados Unidos
87,"108 - MAISONNIER Paul
PARIS JEAN BOUIN CASG",V1H,34,30:37:20,09:04:02.000000,Francia
88,"3543 - RUBILONI Gilles
CNPONTARLIER TRI",V1H,35,30:40:46,09:07:28.000000,Francia
