index,0,1,2,3,4,5
0,,,,,,
1,"25 - POMMERET Ludovic
HOKA - CABB",V1H,1,22:00:02,00:00:00,Francia
2,"9 - GRINIUS Gediminas
TEAM VIBRAM",SEH,1,22:26:05,00:26:03,Lituania
3,"12 - TOLLEFSON Tim
NIKE TRAIL",SEH,2,22:30:28,00:30:26,Estados Unidos
4,"7 - LANEY David
NIKE TRAIL",SEH,3,22:41:14,00:41:12,Estados Unidos
5,"28 - DOMINGUEZ LEDO Javier
TEAM VIBRAM",V1H,2,22:44:16,00:44:14,España
6,"6 - MILLER Zach
NIKE",SEH,4,22:54:26,00:54:24,Estados Unidos
7,"47 - CAMUS Sébastien
TEAM GARMIN ADVENTURE",SEH,5,23:12:43,01:12:41,Francia
8,"30 - CHORIER Julien
TEAM HOKA",SEH,6,23:13:34,01:13:32,Francia
9,"40 - ORNATI Giulio
TEAM SALOMON",SEH,7,23:25:38,01:25:36,Italia
10,"91 - JIMENEZ LLORENS Juan Maria
GREEN POWER SPORTS TEAM",SEH,8,23:27:18,01:27:16,España
11,"69 - ZANCHI Marco
TEAM VIBRAM",V1H,3,23:44:43,01:44:41,Italia
12,"56 - BODAS-RODRIGUEZ Francisco-Javier
TIERRA TRAGAME",V1H,4,23:50:21,01:50:19,España
13,"86 - BERNAD BLASCO Victor
AML SPORT HG - MERIDIANO 0",SEH,9,23:53:25,01:53:23,España
14,"93 - TEIXEIRA Armando Jorge
SALOMON SUUNTO PORTUGAL",V1H,5,24:22:22,02:22:20,Portugal
15,"118 - LARROTCHA Juan Jose
MURCIA CHALLENGE",V1H,6,24:35:08,02:35:06,España
16,63 - OBARA Masatoshi,SEH,10,24:39:02,02:39:00,Japón
17,"57 - GIBLIN Paul
TEAM NATHAN UK",SEH,11,25:03:05,03:03:03,Reino Unido
18,80 - PORCHE Guillaume,SEH,12,25:03:10,03:03:08,Francia
19,136 - HALL Damian,V1H,7,25:12:11,03:12:09,Reino Unido
20,"3 - CHAVEROT Caroline
TEAM HOKA",V1F,1,25:15:40,03:15:38,Francia
21,"23 - HUSER Andrea
MAMMUT.CH",V1F,2,25:22:56,03:22:54,Suiza
22,"27 - SMITH Ryan
ROCKY MOUNTAIN RUNNERS",SEH,13,25:37:33,03:37:31,Reino Unido
23,"137 - MOLIN Ivano
TEAM PEGGIORI SCARPA - MICO - U.S. TRE CIME",V1H,8,25:40:32,03:40:30,Italia
24,"134 - GIL LOPEZ Roberto
WAA team-C.M.GR33",V1H,9,25:52:04,03:52:02,España
25,"78 - COLLOMB-PATTON Bertrand
TEAM HOKA - CAEN ATHLETIC CLUB",V1H,10,25:56:31,03:56:29,Francia
26,"68 - SHERPA Sangé
WAA Team",SEH,14,26:12:43,04:12:41,Nepal
27,"153 - SAEZ MARQUES Francisco
TEAM SPORT HG-AMLSPORT",SEH,15,26:19:54,04:19:52,España
28,"169 - DAVID Benjamin
TEAM SAVOIE ENDURANCE",SEH,16,26:24:45,04:24:43,Francia
29,"163 - KRAH Matthias
COMPRESSPORT/ALTRA RUNNING GERMANY",SEH,17,26:31:16,04:31:14,Alemania
30,"176 - VELOSO Telmo
CORREMOS.PT",V1H,11,26:39:03,04:39:01,Portugal
31,"2180 - SOUSA Bruno
SATECNOSOL OUTDOOR - LA SPORTIVA",SEH,18,26:39:03,04:39:01,Portugal
32,"117 - BURNET Jean
CMBM",SEH,19,26:40:05,04:40:03,Francia
33,"64 - BECKER Florian
AC POUILLON",SEH,20,26:49:36,04:49:34,Francia
34,"158 - ALDOUS Jay
MRC",V2H,1,27:04:59,05:04:57,Estados Unidos
35,"338 - CASTAÑO OSPINA Julian
COLUMBIA - FISIOFIT",SEH,21,27:08:26,05:08:24,Colombia
36,"33 - FRAILE AZPEITIA Uxue
TEAM VIBRAM",V1F,3,27:10:22,05:10:20,España
37,"73 - RUZZA Stefano
TEAM VIBRAM",SEH,22,27:10:22,05:10:20,Italia
38,"165 - BANERAS BATTLE Sergi
TRAILRUNNING GIRONA-CALDES DE MALAVELLA",SEH,23,27:12:46,05:12:44,España
39,"81 - BLANCHET Juliette
TEAM TRAIL ISOSTAR",SEF,1,27:37:18,05:37:16,Francia
40,"90 - FUJIOKA Masazumi
TEAM 7HILLS",V1H,12,27:39:21,05:39:19,Japón
41,"142 - PAJEAN Patrice
TEAM TECNICA",V1H,13,27:40:55,05:40:53,Francia
42,"115 - WONG Ho Chung
CHAMPION SYSTEM ADVENTURE TEAM",SEH,24,27:47:10,05:47:08,HK
43,95 - DOI Takashi,SEH,25,28:02:57,06:02:55,Japón
44,"2673 - URBINA Alexandre
SALAMANCA RAIDS & TRAILS RUNNERS",SEH,26,28:09:30,06:09:28,España
45,626 - TOLSTENKO Aleksei,SEH,27,28:09:38,06:09:36,Rusia
46,"61 - WARDIAN Michael
JULBO-HOKA ONE ONE-UVU-INJINJI-VITARGO",V1H,14,28:14:50,06:14:48,Estados Unidos
47,"203 - WROS John
SEVEN HILLS",SEH,28,28:14:55,06:14:53,Estados Unidos
48,"135 - BASSI Nicola
TEAM DYNAFIT",SEH,29,28:15:23,06:15:21,Italia
49,252 - WILLCOCK Patrick,V1H,15,28:15:38,06:15:36,Sudáfrica
50,13 - BOULET Magdalena,V1F,4,28:18:05,06:18:03,Estados Unidos
51,"49 - PARIS Jasmin
CARNETHY",SEF,2,28:34:35,06:34:33,Reino Unido
52,"1695 - BIE Nicolas
AL VOIRON",SEH,30,28:37:18,06:37:16,Francia
53,"1302 - JURA Rafal
KMP KRAKOW",SEH,31,28:42:54,06:42:52,Polonia
54,138 - FRAGNIERE Patrick,SEH,32,28:47:47,06:47:45,Suiza
55,"1277 - PIQUERES PETITE Francisco Antonio
ATMOSFERA SPORT RUNNING",V1H,16,28:54:20,06:54:18,España
56,362 - BOURGNON Julien,SEH,33,28:56:34,06:56:32,Suiza
57,"247 - KRAL Petr
DYNAFIT TEAM CZECH",SEH,34,28:58:30,06:58:28,República Checa
58,"2572 - GERMAIN Julien
MARSEILLE TRAIL CLUB",V1H,17,29:10:58,07:10:56,Francia
59,256 - DELILLE Remi,SEH,35,29:11:08,07:11:06,Estados Unidos
60,"2222 - GUIU CASOL Xavi
CLUB CERDANYA PIRINEUS",SEH,36,29:12:35,07:12:33,España
61,"76 - WERMESCHER Ildiko
MAMMUT PRO TEAM",V2F,1,29:13:56,07:13:54,Hungría
62,1613 - QIN Yanzhong,SEH,37,29:15:06,07:15:04,China
63,120 - THIERY Benoit,SEH,38,29:16:08,07:16:06,Francia
64,"149 - NIWA Kaori
SALOMON",V1F,5,29:17:41,07:17:39,Japón
65,"250 - GIRARD Matthieu
TRAILERS VERBIER ST-BERNARD",V1H,18,29:17:55,07:17:53,Suiza
66,"475 - PITAUT Stéphane
SMAC",V1H,19,29:20:57,07:20:55,Francia
67,224 - ARISTU MANCHO Ruben,SEH,39,29:26:31,07:26:29,España
68,233 - GARDE RUIZ DE LAS HERAS Eneko,SEH,40,29:26:32,07:26:30,España
69,"184 - ROWLANDS Carlton
TEAM VIBRAM",SEH,41,29:30:31,07:30:29,Reino Unido
70,"223 - WESTERLIN Henrik
HGATM",V1H,20,29:32:45,07:32:43,Dinamarca
71,"1810 - BUET Claude
REINE LAURE",V1H,21,29:38:40,07:38:38,Francia
72,"1240 - PROKOPENKO Oleksii
ENDURANCE SCHOOL",V1H,22,29:46:43,07:46:41,Ucrania
73,"212 - SBOARINA Gabriele
Team Dynafit",SEH,42,29:47:00,07:46:58,Suiza
74,"1364 - PERA VALL-LLOSERA Josep
TRAIL RUNNIN GIRONA",V1H,23,29:50:52,07:50:50,España
75,"133 - COUCHOUD Fabrice
ENDURANCE SHOP SAINT-ETIENNE",V1H,24,29:52:57,07:52:55,Francia
76,"191 - WAMSTER David
UA SOCIETE GENERALE",V1H,25,29:55:17,07:55:15,Francia
77,"151 - LIESA HERNANDEZ David
GEMI MOIA",SEH,43,29:58:48,07:58:46,España
78,"96 - BRAGG Jez
THE NORTH FACE",SEH,44,30:02:35,08:02:33,Reino Unido
79,"222 - LANGEL Kai
C.E. TRAIL TARRACO",V1H,26,30:03:46,08:03:44,Finlandia
80,1015 - RUMBENIEKS Andis,SEH,45,30:09:01,08:08:59,Letonia
81,"1294 - HARRIS James
FELL PONIES",SEH,46,30:09:31,08:09:29,Reino Unido
82,"201 - AUBERT Thierry
ENDURANCE SHOP STRASBOURG",V1H,27,30:14:21,08:14:19,Francia
83,125 - URBANSKI Matthew,SEH,47,30:32:06,08:32:04,Estados Unidos
84,"246 - BERNARD Armin
WENDELSTOAGAMSN",V2H,2,30:33:24,08:33:22,Alemania
85,"97 - PARRA HERNANDEZ Vicente
PEDREZUELA",SEH,48,30:34:42,08:34:40,España
86,"156 - TEJERO Sergio Luís
CLUB pedrezuela",SEH,48,30:34:42,08:34:40,España
87,"2063 - LOPEZ DE ARMENTIA Arkaitz
MANUEL IRADIER",SEH,50,30:36:04,08:36:02,España
88,"2692 - ERICE Ander
SAKANA BIZIRIK M.T",SEH,51,30:39:26,08:39:24,España
89,217 - SCHÜTZ Florian,SEH,52,30:42:36,08:42:34,Alemania
90,"1496 - STEGAGNINI Luca
CAMBIASO E RISSO",V1H,28,30:42:37,08:42:35,Italia
91,2528 - CABRERA DUQUE David,SEH,53,30:44:25,08:44:23,España
92,"2619 - BRUAND Bastien
VESUBIE TRAIL CLUB",SEH,54,30:49:19,08:49:17,Francia
93,181 - RENNICK Stephen,SEH,55,30:50:41,08:50:39,Australia
94,1612 - TANG Eric,SEH,56,30:53:10,08:53:08,Australia
95,152 - MEYER Timo,SEH,57,30:54:57,08:54:55,Alemania
96,2049 - MATTERN Travis,V1H,29,30:56:19,08:56:17,Estados Unidos
97,"72 - ZIMMERMANN Denise
SALOMON SUUNTO",V1F,6,31:00:03,09:00:01,Suiza
98,"899 - TAKEUCHI Masahiro
TEAM CHOKI",SEH,58,31:05:36,09:05:34,Japón
