index,0,1,2,3,4,5
0,,,,,,
1,1508 - D'HAENE François,SEH,1,10:32:36,00:00:00,Francia
2,"1504 - BUUD Jonas
IFK MORA",SEH,2,11:03:19,00:30:43,Suecia
3,"11 - FOOTE Mike
THE NORTH FACE",SEH,3,11:19:00,00:46:24,Estados Unidos
4,"5 - SA Carlos
BERG",SEH,4,11:22:39,00:50:03,Portugal
5,"4 - NEMETH Csaba
VIDI.HU",V1H,1,11:37:18,01:04:42,Hungría
6,"1555 - REY Jean-Yves
Salomon",V1H,2,11:43:48,01:11:12,Suiza
7,9 - FAIVRE François,SEH,5,11:51:32,01:18:56,Francia
8,"1812 - LEJEUNE Arnaud
HOKA, +WATT, LOU TAVAN",SEH,6,11:53:17,01:20:41,Francia
9,1776 - BUFFARD Sebastien,SEH,7,11:57:47,01:25:11,Francia
10,7 - KABURAKI Tsuyoshi,V1H,3,12:03:04,01:30:28,Japón
11,"1558 - TEIXEIRA Armando Jorge
SALOMON PORTUGAL",SEH,8,12:05:56,01:33:20,Portugal
12,"1531 - DOMINGUEZ LEDO Javier
KIROLAK - CM GAZTEIZ",SEH,9,12:12:32,01:39:56,España
13,"1501 - BES Jordi
SELECCIÓ CATALANA-SALOMON",SEH,10,12:14:35,01:41:59,España
14,18 - TIDD John,V1H,4,12:24:46,01:52:10,España
15,"1802 - HERCOG Piotr
SALOMON SUUNTO POLAND",SEH,11,12:32:02,01:59:26,Polonia
16,13 - HAWKER Elisabeth,SEF,1,12:32:13,01:59:37,Reino Unido
17,12 - DIPPACHER Matthias,SEH,12,12:40:57,02:08:21,Alemania
18,"1793 - DYBEK Pawel
INOV-8",SEH,13,12:50:35,02:17:59,Polonia
19,"1520 - ALESON Imanol
URRUTI SPORT (ANAITASUNA M.B.)",V1H,5,12:51:23,02:18:47,España
20,"1823 - MOALIC Ronan
TEAM VIBRAM",SEH,14,12:57:13,02:24:37,Francia
21,"1515 - POMMERET Ludovic
HOKA ALTECSPORT",SEH,15,13:00:45,02:28:09,Francia
22,"3636 - BARANANO URKIJO Gaizka
AMURRIO TRAIL TALDEA",SEH,16,13:02:51,02:30:15,España
23,"1785 - COLLOMB-PATTON Bertrand
CAEN ATHLETIC CLUB",SEH,17,13:03:08,02:30:32,Francia
24,"3706 - KADUNC David
SALOMON TEAM - TEKASKI FORUM",SEH,18,13:07:50,02:35:14,Eslovenia
25,"1790 - DOHNERT Rudi
RUNNERS POINT",V1H,6,13:13:14,02:40:38,Alemania
26,1787 - DESPLANCHES Frédéric,SEH,19,13:13:38,02:41:02,Francia
27,"1779 - CANETTA Filippo
TEAM SALOMON CARNIFAST",V1H,7,13:14:09,02:41:33,Italia
28,1828 - PAQUIER Patrice,V1H,8,13:16:04,02:43:28,Francia
29,34 - KEITH Eoin,V1H,9,13:16:05,02:43:29,Irlanda
30,"1527 - CANEPA Francesca
Team Vibram",V1F,1,13:17:01,02:44:25,Italia
31,"1512 - JULIA BONMATI Arnau
COLLA EXCURSIONISTA SANT JULIA DEL LLOR",SEH,20,13:17:53,02:45:17,España
32,"1553 - NELSON Luke
PATAGONIA ULTRA RUNNING TEAM",SEH,21,13:18:52,02:46:16,Estados Unidos
33,"1539 - GIRAUD-SAUVEUR Herve
LAFUMA GAP TRAIL NATURE",V1H,10,13:20:55,02:48:19,Francia
34,"1800 - GAYLORD Topher
MOUNTAIN HARDWEAR/MONTRAIL",V1H,11,13:21:18,02:48:42,Estados Unidos
35,1766 - BIGNELL Alister,SEH,22,13:21:31,02:48:55,Reino Unido
36,3692 - MCCLYMONT Clarke,SEH,23,13:22:20,02:49:44,Australia
37,"1832 - ROCA Emma
CEC",SEF,2,13:23:37,02:51:01,España
38,"1529 - COUCHAUD Sylvain
TEAM NEW BALANCE",SEH,24,13:33:08,03:00:32,Francia
39,3755 - ROSTOVTSEV Artem,SEH,25,13:34:58,03:02:22,Rusia
40,1541 - HAYETINE Alexandre,SEH,26,13:35:35,03:02:59,Francia
41,1807 - KOJIMA Hiromichi,SEH,27,13:36:03,03:03:27,Japón
