index,0,1,2,3,4,5
0,,,,,,
1,"3 - OLMO Marco
M&P RISK AGENCI",V2H,1,21:06:06,00:00:00.000000,Italia
2,"3021 - NEMETH Csaba
E.G. MOUNTEX",SEH,1,21:37:32,00:31:26.000000,Hungría
3,"2 - DELEBARRE Vincent
TRAILERS DU MONT BLANC - CMBM - QUECHUA - EMHM - CMBM",SEH,2,21:59:29,00:53:23.000000,Francia
4,"3277 - LUKAS Jens
LSG KARLSRUHE",V1H,1,22:15:15,01:09:09.000000,Alemania
5,5 - MILLET Guillaume,SEH,3,22:54:11,01:48:05.000000,Francia
6,"14 - GRIVEL Stephane
CHEVALIERS DU VENT",SEH,4,23:25:06,02:19:00.000000,Francia
7,"23 - STAUB Vincent
LES TROTTEURS",SEH,5,23:26:38,02:20:32.000000,Suiza
8,"1669 - MERMOUD Nicolas
ELIX",V1H,2,23:40:36,02:34:30.000000,Francia
9,"1002 - OULEDI WILFRID
TESB",SEH,6,23:42:56,02:36:50.000000,Francia
10,"2608 - LLONCH CASASAMPERA Enric
CENTRE EXCURSIONISTA TORELLO",SEH,7,23:53:02,02:46:56.000000,España
11,89 - BAUD Patrice,V1H,3,23:56:43,02:50:37.000000,Francia
12,"983 - SERAZIN Johan
LEGENDRE BRETAGNE",SEH,8,24:03:11,02:57:05.000000,Francia
13,"2134 - JOSE LUIS ALBIZURI BERISTAIN
LAGUN ONAK MB",V1H,4,24:07:38,03:01:32.000000,España
14,"2518 - PYKE Stephen
STAFFORDSHIRE MOORLANDS",V1H,5,24:14:20,03:08:14.000000,Reino Unido
15,"1672 - GIRARD Matthieu
UFO",SEH,9,24:21:40,03:15:34.000000,Suiza
16,"912 - BONNOTTE Eric
UFO",V1H,6,24:27:36,03:21:30.000000,Francia
17,"916 - CERCUEIL Michel
CAF ISERE - UFO",SEH,10,24:27:36,03:21:30.000000,Francia
18,"926 - HOBLEA Fabien
UFO/CHAMBERY TRIATHLON",V1H,6,24:27:36,03:21:30.000000,Francia
19,"2262 - BERNARD Guillaume
GUCEM",SEH,10,24:27:36,03:21:30.000000,Francia
20,2304 - BAGNOUD Gérard,SEH,12,24:43:29,03:37:23.000000,Suiza
21,"3017 - GIRAUD-SAUVEUR Herve
EMBRUN TRIATHLON",SEH,13,24:55:18,03:49:12.000000,Francia
22,"39 - BAUER Daniel
PAYS VIGANAIS ENDURANCE NATURE",V1H,8,24:55:40,03:49:34.000000,Francia
23,"2264 - PELMONT Francis
DAUPHINE ORIENTATION",V1H,9,25:03:44,03:57:38.000000,Francia
24,"1584 - IRAZABAL BASTERRETXEA asier
ALDATZ-GORA MT",SEH,14,25:17:56,04:11:50.000000,España
25,"995 - HERRY Karine
Team LAFUMA / GREEN MAGMA",SEF,1,25:22:20,04:16:14.000000,Francia
26,"2336 - GONDAS Ondrej
ULTRARUN SUDTIROL",V2H,2,25:27:28,04:21:22.000000,Eslovenia
27,"10 - ERNZEN Jean-Pierre
CELTIC DIEKIRCH",V1H,10,25:29:03,04:22:57.000000,Luxemburgo
28,"36 - TISSOT Laurent
SMON/UFO",SEH,15,25:32:53,04:26:47.000000,Francia
29,"2535 - PILLONEL Etienne
TRI TEAM FRIBOURG",SEH,16,25:35:11,04:29:05.000000,Suiza
30,"2128 - SANTUCCI Pierre Mathieu
Team Montrail-Sport Poretta",V2H,3,25:35:33,04:29:27.000000,Francia
31,2268 - BAUMANN Ryan,SEH,17,25:38:08,04:32:02.000000,Suiza
32,"1390 - REY Patrick
7 LIEUES AVENTURES",V1H,11,25:39:34,04:33:28.000000,Francia
33,"3105 - COCHARD Bertrand
TEAM LES HEMERODROMES",SEH,18,25:39:50,04:33:44.000000,Francia
34,"9 - BERTOLI MATTEO
ASS.SPORTIVA FREE-ZONE",SEH,19,25:43:47,04:37:41.000000,Italia
35,"1808 - LESERVOISIER patrick
CA AMBILLY",V1H,12,26:05:48,04:59:42.000000,Francia
36,28 - KAYSER Simone,V2F,1,26:05:58,04:59:52.000000,Luxemburgo
37,29 - KAYSER Marc,V2H,4,26:05:59,04:59:53.000000,Luxemburgo
38,"2255 - FAURE Jean-Francois
CLUB OMNISPORT ARPAJONNAIS",V1H,13,26:11:30,05:05:24.000000,Francia
39,"1791 - FATTON Christian
CCAP-NEW BALANCE",V1H,14,26:15:31,05:09:25.000000,Suiza
40,1680 - LANEY Tim,V1H,15,26:15:41,05:09:35.000000,Reino Unido
41,"2384 - ATKINSON David
NORTHUMBERLAND FELL RUNNERS",V1H,16,26:28:07,05:22:01.000000,Reino Unido
42,"6 - GAYLORD Topher
THE NORTH FACE TEAM",SEH,20,26:29:59,05:23:53.000000,Estados Unidos
43,"66 - LESTRADE Stephane
XTTR LE MONT DORE",SEH,21,26:35:27,05:29:21.000000,Francia
44,"1695 - ZAUGG Jean Marc
ALCATEL SPACE RUNNER",SEH,22,26:41:09,05:35:03.000000,Francia
45,2309 - BANFI Jean-Claude,V1H,17,26:41:10,05:35:04.000000,Francia
46,"3221 - DURAND Bruno
CHEVALIERS DU VENT",V1H,18,26:42:35,05:36:29.000000,Francia
47,"2717 - BENOIT-LIZON Alain
AMICALE DES PENNES MIRABEAU",V1H,19,26:50:56,05:44:50.000000,Francia
48,"79 - BRAGG Jez
TRAIL RUNNING ASSOCIATION",SEH,23,26:50:59,05:44:53.000000,Reino Unido
49,1348 - BOISSONNET Marc,V1H,20,26:51:48,05:45:42.000000,Francia
50,"37 - POIRIER Bruno
LES CHEVALIERS DU VENT",V1H,21,26:54:29,05:48:23.000000,Francia
51,"69 - HUDRY Jean Francois
SANS",V1H,22,26:57:49,05:51:43.000000,Francia
52,117 - FAIVRE Hervé,SEH,24,26:58:07,05:52:01.000000,Francia
53,"11 - SCHWEIZER Werner
OXYGENE ANNEMASSE",V3H,1,26:58:10,05:52:04.000000,Suiza
54,"2704 - MERKER Joël
MASSIF DE L'ETOILE",SEH,25,26:58:42,05:52:36.000000,Francia
55,"1589 - FRITSCHE Volker
TS-LICHTENFELS",V1H,23,27:05:12,05:59:06.000000,Alemania
56,2544 - CALMBACH Ulrich,V1H,24,27:08:38,06:02:32.000000,Alemania
57,"2799 - BURETTE Pierre
RANDOMAN DU CHERAN",V1H,25,27:10:49,06:04:43.000000,Francia
58,"2286 - PITSCHEIDER Stephan
ULTRARUN SUDTIROL",V1H,26,27:17:33,06:11:27.000000,Italia
59,"1508 - CHAPEAU Christian
AVIA CLUB ISSY LES MOULINEAUX",SEH,26,27:19:12,06:13:06.000000,Francia
60,"1853 - DE PREVILLE Benoit
SPORT NATURE ROCHE VILAINE",SEH,27,27:22:20,06:16:14.000000,Francia
61,"22 - RUBILONI Gilles
C N P TRI",V1H,27,27:35:55,06:29:49.000000,Francia
62,"2682 - SPREAFICO Carlo
TRIATHLONLECCO",V1H,28,27:36:10,06:30:04.000000,Italia
63,1275 - ALMGREN Tor,V1H,29,27:40:12,06:34:06.000000,Suecia
64,2010 - UGARTE AZKARRAGA Luis Maria,V1H,30,27:40:27,06:34:21.000000,España
65,"2413 - RICHARDS Mark
HEADINGTON ROAD RUNNERS",V1H,31,27:45:06,06:39:00.000000,Reino Unido
66,"31 - MAILLARD Pierre-Andre
CARE VEVEY",V1H,32,27:45:08,06:39:02.000000,Suiza
67,"891 - SIGNORIO Patricia
AKILEINE",V1F,1,27:45:51,06:39:45.000000,Francia
68,"67 - BOSSONNEY Denis
LE CHABLE BEAUMONT",V1H,33,27:47:16,06:41:10.000000,Francia
69,"906 - CAUSSARIEU Valery
UFO (VAL)",SEH,28,27:48:08,06:42:02.000000,Francia
70,"65 - PLANES Lionel
UFO - dit Yoyo",SEH,29,27:48:09,06:42:03.000000,Francia
71,"103 - DOIGNON Jean-Luc
GAG",V2H,5,27:48:09,06:42:03.000000,Francia
72,"2662 - MASSON Yves
LOU ATHLE",V1H,34,27:48:09,06:42:03.000000,Francia
73,"982 - EVENO Lionel
LEGENDRE BRETAGNE",V1H,35,27:49:02,06:42:56.000000,Francia
74,"334 - VAN DER VEKEN Pascal
CE CDO",V1H,36,27:49:42,06:43:36.000000,Bélgica
75,1212 - BAILLET Olivier,SEH,30,27:50:33,06:44:27.000000,Francia
76,1381 - LESAGE Sébastien,SEH,31,28:01:18,06:55:12.000000,Francia
77,3132 - CANALS JEAN CLAUDE,V1H,37,28:02:06,06:56:00.000000,Francia
78,"50 - MOTTA Alberto
COURMAYEUR TRAILERS",V2H,6,28:06:46,07:00:40.000000,Italia
