index,0,1,2,3,4,5
0,,,,,,
1,"1501 - JORNET BURGADA Kilian
SALOMON",SEH,1,20:36:43,00:00:00,España
2,"1516 - KARRERA ARANBURU Iker
SALOMON SANTIVERY",SEH,2,20:45:30,00:08:47,España
3,"1504 - CHAIGNEAU Sebastien
THE NORTH FACE",SEH,3,20:55:41,00:18:58,Francia
4,"1530 - NEMETH Csaba
VIDI.HU",V1H,1,22:35:48,01:59:05,Hungría
5,"1531 - SA Carlos
AMIGOS DA MONTANHA",SEH,4,22:48:24,02:11:41,Portugal
6,6 - BOHARD Patrick,V1H,2,23:31:55,02:55:12,Francia
7,"1505 - KABURAKI Tsuyoshi
THE NORTH FACE",V1H,3,23:41:04,03:04:21,Japón
8,"5 - GUILLON Antoine
TEAM LAFUMA-GREEN MAGAMA- GO2",V1H,4,23:56:50,03:20:07,Francia
9,1542 - FAIVRE François,SEH,5,24:07:03,03:30:20,Francia
10,"11 - YAMAMOTO Kenichi
HAGLOFS",SEH,6,24:15:40,03:38:57,Japón
11,1528 - FOOTE Mike,SEH,7,24:25:12,03:48:29,Estados Unidos
12,1557 - DIPPACHER Matthias,SEH,8,24:38:23,04:01:40,Alemania
13,"19 - HAWKER Elisabeth
THE NORTH FACE",SEF,1,25:02:00,04:25:17,Reino Unido
14,1562 - PEDATELLA Nick,SEH,9,25:51:33,05:14:50,Estados Unidos
15,"1560 - CERCUEIL Michel
ALE",SEH,10,26:19:25,05:42:42,Francia
16,"30 - AURREKOETXEA URIARTE Eneko
BRINEAN",SEH,11,26:23:32,05:46:49,España
17,"14 - BRAVAIS Bastien
TEAM NEW BALANCE & BVSPORT",SEH,12,26:34:55,05:58:12,Francia
18,1548 - TIDD John,V1H,5,26:35:05,05:58:22,España
19,"3611 - CANTIN Frédéric
TEAM OPEL",SEH,13,26:44:38,06:07:55,Francia
20,"3337 - GONCALVES João
PAULO ALBUQUERQUE SEGUROS",SEH,14,26:59:47,06:23:04,Portugal
21,2347 - SARDA Stephane,SEH,15,27:28:06,06:51:23,Francia
22,2606 - PILLA John,V2H,1,27:35:26,06:58:43,Estados Unidos
23,"1544 - THIERY Benoit
LES TRAILERS DU GAVOT",SEH,16,27:47:20,07:10:37,Francia
24,"2229 - MATHIEU Jean Claude
team LAFUMA",V1H,6,27:47:20,07:10:37,Francia
25,"37 - MARTINEZ URRUZOLA Nerea
SALOMON SANTIVERI",SEF,2,27:55:34,07:18:51,España
26,"2 - WOLFE Mike
THE NORTH FACE",SEH,17,28:01:47,07:25:04,Estados Unidos
27,"26 - MARCEL Rémy
3D TRAIL / ENDURANCE SHOP GRENOBLE",SEH,18,28:20:44,07:44:01,Francia
28,"3575 - NEAR Chris
HAGLOFS INOV8",SEH,19,28:25:46,07:49:03,Reino Unido
29,1950 - SIRAUDIN Mathieu,SEH,20,28:26:55,07:50:12,Francia
30,"3628 - DOLEGOWSKI Krzysztof
BIEGANIE",SEH,21,28:27:41,07:50:58,Polonia
31,"1526 - PICEU AFRICA Darcy
Pearl Izumi",SEF,3,28:30:28,07:53:45,Estados Unidos
32,1573 - ZANCHI Marco,SEH,22,28:37:14,08:00:31,Italia
33,3075 - LOCATELLI Serge,V1H,7,28:38:20,08:01:37,Francia
34,"2554 - KEITH Eoin
URI",V1H,8,28:54:50,08:18:07,Irlanda
35,"3485 - FRECHILLA TOLEDO Raul
TIERRA TRAGAME",SEH,23,29:00:10,08:23:27,España
36,"3048 - BIOLLAZ daniel
LES TRAILERS DU MOLE",V1H,9,29:00:11,08:23:28,Francia
37,"1796 - SOUCHON Frederic
RACING LETI",V1H,10,29:04:07,08:27:24,Francia
38,"2199 - VALLOSIO Sergio
TEAM LAFUMA ITALIA",SEH,24,29:12:43,08:36:00,Italia
39,2262 - HARDEL Fabrice,SEH,25,29:14:35,08:37:52,Francia
40,"1515 - JAIME Scott
PEARL IZUMI",V1H,11,29:17:13,08:40:30,Estados Unidos
41,"1599 - BERETTA Roberto
TRB BRESCIA",V1H,12,29:20:55,08:44:12,Italia
42,"3559 - GINE CID Albert
UEC TORTOSA",SEH,26,29:25:28,08:48:45,España
43,"1689 - ZIMMERMANN Denise
Salomon-Suunto Schweiz",SEF,4,29:26:39,08:49:56,Suiza
44,"2708 - LUCKER Alan
BOWLAND FELL RUNNERS",SEH,27,29:29:06,08:52:23,Reino Unido
45,69 - CARRARD Philippe,SEH,28,29:30:48,08:54:05,Suiza
46,1815 - POUPINET Benoit,V1H,13,29:30:48,08:54:05,Francia
47,"39 - CUNNINGHAM Richard
Pearl Izumi Ultrarunning Team",V1H,14,29:46:11,09:09:28,Reino Unido
48,"3492 - MONTANI Alessandro
SISPORTGYM A.S.D.",SEH,29,30:03:09,09:26:26,Italia
49,1558 - MARAZZI Giuseppe,SEH,30,30:17:51,09:41:08,Italia
50,"1509 - GOBERT Maud
TEAM ADIDAS",SEF,5,30:20:59,09:44:16,Francia
51,"115 - COSPOLICH Helen
THE NORTH FACE",SEF,6,30:27:37,09:50:54,Estados Unidos
52,"90 - TUTZO Thierry
PENITENTS EN DURANCE",V1H,15,30:36:22,09:59:39,Francia
53,"3355 - FORI Katia
KINOMANA PARMA",SEF,7,30:38:44,10:02:01,Italia
54,"3126 - BROSEGHINI Gianluca
MAI ZEDER TEAM",SEH,31,30:38:52,10:02:09,Italia
55,1770 - GRANZOTTO Fabio,SEH,32,30:42:41,10:05:58,Italia
56,1539 - CAMARDA Enrico,SEH,33,30:42:58,10:06:15,Italia
57,3094 - SCHLUCHTER Adrien,V2H,2,30:49:29,10:12:46,Suiza
58,"3567 - LEITNER Alois
AUSPO TEAM",V1H,16,30:52:50,10:16:07,Austria
59,"1632 - DELIKAT Patrick
MONTAUBAN BIRAC",V1H,17,30:54:31,10:17:48,Francia
60,"2954 - LAURENT Christophe
ND2BR",V1H,18,31:01:29,10:24:46,Francia
61,"1724 - DORNE Franck
CAF - DSA",V1H,19,31:07:40,10:30:57,Francia
62,"2121 - CUBERO MARTIN Jose Javier
La Pedriza del Manzanares",SEH,34,31:07:57,10:31:14,España
63,"1781 - CUSSAC Thierry
ST WENDELER BEER PRO TEAM",V1H,20,31:16:04,10:39:21,Francia
64,"3162 - RODRIGUEZ JULIO
DENTALCAS CASTELLON",SEH,35,31:52:11,11:15:28,España
65,1536 - TOUBIN Marc,SEH,36,31:57:02,11:20:19,Francia
66,"3159 - VOEFFRAY Julien
LA GLISSE SPORTS, TORGON",SEH,37,32:01:41,11:24:58,Suiza
67,2545 - FINDLEY Andrew,V1H,21,32:01:51,11:25:08,Reino Unido
68,"3106 - MOTSCH Mathieu
COLMAR MARATHON CLUB",SEH,38,32:01:52,11:25:09,Francia
69,"2747 - PETROPOULOS Nikolaos
OLIMPIOI",V1H,22,32:01:53,11:25:10,Grecia
70,"32 - MEIER Christophe
SC CHASSERON",SEH,39,32:04:01,11:27:18,Suiza
71,2762 - CALDUCH PRAT Jordi,SEH,40,32:05:09,11:28:26,España
72,"3351 - GALEATI Gianluca
TERZO TEMPO TRAIL",SEH,41,32:14:00,11:37:17,Italia
73,"2938 - GRAZIELLI Davide
TFFT Genova",SEH,42,32:14:02,11:37:19,Italia
74,2379 - MOUSSEL johann,SEH,43,32:15:35,11:38:52,Francia
75,"3267 - BEREZIAT Jerome
AINPULSION18",SEH,44,32:18:52,11:42:09,Francia
76,"2621 - CLEMENT Benoît
CHOUETTE TEAM",V1H,23,32:20:39,11:43:56,Suiza
