index,0,1,2,3,4,5
0,,,,,,
1,"81 - DELEBARRE Vincent
LES TRAILERS DU MONT BLANC - UFO - QUECHUA",SEH,1,21:06:18,00:00:00.000000,Francia
2,"1 - SHERPA Dachhiri-Dawa
TEAM QUECHUA",SEH,2,23:02:28,01:56:10.000000,Nepal
3,"845 - PACHE Jean Claude
CARC ROMONT",SEH,3,23:40:08,02:33:50.000000,Suiza
4,11 - FAVRE-FELIX Lionel,SEH,4,23:50:36,02:44:18.000000,Francia
5,"1149 - NEMETH Csaba
TEAM OLANG",SEH,5,23:54:09,02:47:51.000000,Hungría
6,"352 - CERCUEIL Michel
UFO TEAM MANIAK",SEH,6,24:46:26,03:40:08.000000,Francia
7,"890 - VERDIER Philippe
UFO / AGF-ELA-NIKE",V1H,1,24:46:28,03:40:10.000000,Francia
8,715 - FATTON Christian,V1H,2,25:20:30,04:14:12.000000,Suiza
9,"5 - SCHWEIZER Werner
FOULEE GLAND",V3H,1,25:24:22,04:18:04.000000,Suiza
10,"10 - TECHER Henri
LES FINS GUIMIERS",V1H,3,25:36:29,04:30:11.000000,Francia
11,"7 - GONDAS Ondrej
SV JENESIEN RAIFFEISEN",V2H,1,25:58:10,04:51:52.000000,Eslovenia
12,1068 - STAMSTAD John,SEH,7,25:59:08,04:52:50.000000,Estados Unidos
13,726 - CEAGLIO Pierre,SEH,8,26:03:16,04:56:58.000000,Francia
14,"926 - BORCARD Colette
FSG NEIRIVUE",V1F,1,26:08:54,05:02:36.000000,Suiza
15,691 - LETELLIER Jean Claude,SEH,9,26:31:31,05:25:13.000000,Francia
16,"920 - MOKHTARI Labib
ZSCHOKTE LOCHER",V1H,4,26:36:38,05:30:20.000000,Francia
17,"91 - TWIETMEYER TIM
TEAM THE NORTH FACE",V1H,5,26:42:10,05:35:52.000000,Estados Unidos
18,"12 - BONNOTTE Eric
UFO",SEH,10,27:01:09,05:54:51.000000,Francia
19,494 - ECLAPIER Jean-Claude,V1H,6,27:07:06,06:00:48.000000,Francia
20,326 - ECLAPIER Dominique,V1H,7,27:07:07,06:00:49.000000,Francia
21,"658 - HARTELL Mark
MACCLESFIELD HARRIERS",V1H,8,27:10:26,06:04:08.000000,Reino Unido
22,"955 - DURAND Bruno
LES CHEVALIERS DU VENT",SEH,11,27:11:36,06:05:18.000000,Francia
23,"1145 - BERTOLI MATTEO
ASS. SPORTIVA FREEZONE",SEH,12,27:12:11,06:05:53.000000,Italia
24,"14 - BOUDAY Luc
UFO / SPORTS AVENTURES HAUT DOUBS",V2H,2,27:53:21,06:47:03.000000,Francia
