posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1,20:19:07,00:00:00,Pau CAPELL,THE NORTH FACE,España,M,SENIOR,utmb,2019
2,21:07:56,00:48:49,Xavier THEVENARD,NONE,Francia,M,SENIOR,utmb,2019
3,21:48:04,01:28:57,Scott HAWKER,TEAM VIBRAM,Nueva Zelandia,M,SENIOR,utmb,2019
4,22:04:29,01:45:22,Tom OWENS,SALOMON,Reino Unido,M,SENIOR,utmb,2019
5,22:35:15,02:16:08,Andrew SYMONDS,SCOTT RUNNING,Reino Unido,M,SENIOR,utmb,2019
6,22:47:47,02:28:40,Joaquin LOPEZ,WAA TEAM,Ecuador,M,SENIOR,utmb,2019
7,22:47:47,02:28:40,Chung WONG HO,THE NORTH FACE ADVENTURE TEAM,Hong Kong,M,SENIOR,utmb,2019
8,23:00:12,02:41:05,Masatoshi OBARA,ANSWER4,Japón,M,SENIOR,utmb,2019
9,23:16:03,02:56:56,Javier DOMINGUEZ LEDO,TEAM VIBRAM,España,M,VET-A,utmb,2019
10,23:16:03,02:56:56,Germain GRANGIER,NONE,Francia,M,SENIOR,utmb,2019
11,23:21:17,03:02:10,Canhua LUO,HOKA ONE ONE,China,M,SENIOR,utmb,2019
12,23:38:44,03:19:37,Martin KERN,TEAM PROVENCE ENDURANCE,Francia,M,SENIOR,utmb,2019
13,23:41:28,03:22:21,Guillaume BEAUXIS,TARBES PYRENEES ATHLETISME,Francia,M,SENIOR,utmb,2019
14,23:59:49,03:40:42,Lluis RUIZ OLLER,NONSTOP MINIMALIST RUNNERS,España,M,SENIOR,utmb,2019
15,24:03:53,03:44:46,Harry JONES,HOKA ONE ONE,Reino Unido,M,SENIOR,utmb,2019
16,24:10:39,03:51:32,Moises JIMENEZ,VERT,Venezuela,M,SENIOR,utmb,2019
17,24:20:45,04:01:38,Matthias KRAH,COMPRESSPORT,Alemania,M,SENIOR,utmb,2019
18,24:26:28,04:07:21,Sylvain COURT,MERIBEL SPORTS MONTAGNE,Francia,M,SENIOR,utmb,2019
19,24:27:59,04:08:52,Jason SCHLARB,ALTRA FOOTWEAR,Estados Unidos,M,VET-A,utmb,2019
20,24:29:19,04:10:12,Francisco FREITAS,ACD JARDIM DA SERRA,Portugal,M,VET-A,utmb,2019
21,24:34:26,04:15:19,Courtney DAUWALTER,SALOMON,Estados Unidos,F,SENIOR,utmb,2019
22,24:40:52,04:21:45,René ROVERA,TEAM GARMIN ADVENTURE,Francia,M,VET-B,utmb,2019
23,24:44:27,04:25:20,Renaud ROUANET,TEAM INSTINCT TRAIL,Francia,M,VET-A,utmb,2019
24,24:53:30,04:34:23,Paul GIBLIN,COMPRESSPORT INTERNATIONAL,Reino Unido,M,VET-A,utmb,2019
25,24:55:35,04:36:28,Vicente PARRA HERNANDEZ,CDETM PEDREZUELA,España,M,VET-A,utmb,2019
26,24:59:22,04:40:15,Thorbergur JONSSON,66 NORTH,Islandia,M,SENIOR,utmb,2019
27,25:01:15,04:42:08,Sebastien BUET,ON RUNNING,Francia,M,SENIOR,utmb,2019
28,25:28:56,05:09:49,Jerome LUCAS,TEAM TRAIL BRETAGNE,Francia,M,VET-A,utmb,2019
29,25:34:12,05:15:05,Kristin BERGLUND,SALOMON RUNNING TEAM AUSTRIA,Suecia,F,SENIOR,utmb,2019
30,25:35:32,05:16:25,Benoit CORI,AVIRON BAYONNAIS,Francia,M,SENIOR,utmb,2019
31,25:36:05,05:16:58,Kuo LI,COLUMBIA,China,M,SENIOR,utmb,2019
32,25:40:28,05:21:21,Ugo FERRARI,TEAM BESTIOLES,Francia,M,SENIOR,utmb,2019
33,25:40:28,05:21:21,Clement GUIBERT,TETE D'OR RUNNERS ,Francia,M,SENIOR,utmb,2019
34,25:41:30,05:22:23,Maite MAIORA ELIZONDO,LIZARPE MK,España,F,SENIOR,utmb,2019
35,25:46:10,05:27:03,Sébastien CAMUS,TEAM GARMIN,Francia,M,VET-A,utmb,2019
