posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1,20:44:16,00:00:00,Xavier THEVENARD,NONE,Francia,M,SENIOR,utmb,2018
2,21:31:37,00:47:21,Robert HAJNAL,CEP ROMANIA,Rumania,M,SENIOR,utmb,2018
3,21:57:01,01:12:45,Jordi GAMITO,COMPRESSPORT,España,M,SENIOR,utmb,2018
4,22:06:59,01:22:43,Hallvard SCHJØLBERG,LOFOTEN ULTRALOPERKLUBB,Noruega,M,VET-A,utmb,2018
5,22:35:13,01:50:57,Damian HALL,INOV-8,Reino Unido,M,VET-A,utmb,2018
6,22:38:29,01:54:13,Roman EVARTS,TREKKING TEAM 007,Letonia,M,SENIOR,utmb,2018
7,23:02:19,02:18:03,Stefano RUZZA,TEAM VIBRAM,Italia,M,SENIOR,utmb,2018
8,23:07:53,02:23:37,Erik CLAVERY,TUB,Francia,M,SENIOR,utmb,2018
9,23:12:03,02:27:47,Florian GRASEL,TRAILBEARD 4 BOA RUNNING TEAM,Austria,M,SENIOR,utmb,2018
10,23:27:08,02:42:52,Javier DOMINGUEZ LEDO,TEAM VIBRAM,España,M,VET-A,utmb,2018
11,23:34:35,02:50:19,Petter RESTORP,NONE,Suecia,M,VET-A,utmb,2018
12,23:47:39,03:03:23,Christopher HAMMES,NONE,Estados Unidos,M,SENIOR,utmb,2018
13,23:53:02,03:08:46,Mathieu BLANCHARD,SALOMON,Francia,M,SENIOR,utmb,2018
14,23:59:55,03:15:39,Sacha DEVILLAZ,NONE,Francia,M,SENIOR,utmb,2018
15,24:07:27,03:23:11,Jim MANN,HELM HILL,Reino Unido,M,VET-A,utmb,2018
16,24:16:21,03:32:05,Emir GRAIRI,ESTY,Túnez,M,SENIOR,utmb,2018
17,24:26:59,03:42:43,Gregoire CURMER,COMPRESSPORT INTERNATIONAL ,Francia,M,SENIOR,utmb,2018
18,24:27:00,03:42:44,Matthieu BOSQUET,NONE,Francia,M,SENIOR,utmb,2018
19,24:28:23,03:44:07,Roberto MASTROTTO,TEAM LA SPORTIVA,Italia,M,SENIOR,utmb,2018
20,24:33:26,03:49:10,Collomb,CAEN ATHLETIC CLUB,Francia,M,VET-A,utmb,2018
21,24:40:38,03:56:22,Francisco FREITAS,MUR,Portugal,M,VET-A,utmb,2018
22,24:47:49,04:03:33,Paul GIBLIN,COMPRESSPORT,Reino Unido,M,VET-A,utmb,2018
23,25:03:37,04:19:21,Kuo LI,COLUMBIA,China,M,SENIOR,utmb,2018
24,25:08:08,04:23:52,Sebastien HENRI,SMAC,Francia,M,SENIOR,utmb,2018
25,25:19:01,04:34:45,Jean BURNET,CMBM,Francia,M,SENIOR,utmb,2018
26,25:32:11,04:47:55,Vincent DUJARDIN,TEAM DU CAILLOU,Francia,M,SENIOR,utmb,2018
27,25:34:32,04:50:16,Krystian OGLY,KULINARNA STRONA MOCY,Polonia,M,VET-A,utmb,2018
28,25:40:09,04:55:53,Timothy OLSON,RUN MINDFUL,Estados Unidos,M,SENIOR,utmb,2018
29,25:40:11,04:55:55,Ugo FERRARI,CESNI TEAM TRAIL,Francia,M,SENIOR,utmb,2018
30,25:44:57,05:00:41,Patrick WILLCOCK,PILATUS AIRCRAFT LTD,Sudáfrica,M,VET-A,utmb,2018
31,25:56:12,05:11:56,Hugo GONÇALVES,TRAIL TEAM BIFASE,Portugal,M,SENIOR,utmb,2018
32,25:57:11,05:12:55,Thorbergur JONSSON,66 NORTH,Islandia,M,SENIOR,utmb,2018
33,26:03:48,05:19:32,Francesca CANEPA,MONTBLANCTEAM,Italia,F,VET-A,utmb,2018
34,26:04:05,05:19:49,Patrick FREI,NONE,Suiza,M,VET-A,utmb,2018
35,26:08:07,05:23:51,Uxue FRAILE AZPEITIA,TEAM VIBRAM,España,F,VET-A,utmb,2018
36,26:10:42,05:26:26,Anthony MAUBOUSSIN,VIKING CRUISES,Francia,M,SENIOR,utmb,2018
37,26:15:11,05:30:55,Jocelyne PAULY,GIVRES DE NAY,Francia,F,VET-A,utmb,2018
38,26:15:28,05:31:12,Christian HILDEBRAND,TEAM HÄMPI,Alemania,M,SENIOR,utmb,2018
39,26:17:20,05:33:04,Samuel SHEPHERD,NONE,Reino Unido,M,SENIOR,utmb,2018
40,26:26:40,05:42:24,Beth PASCALL,RAIDLIGHT,Reino Unido,F,SENIOR,utmb,2018
41,26:38:56,05:54:40,Enzo BENVENUTO,TEAM GRIVEL,Italia,M,VET-A,utmb,2018
42,26:40:03,05:55:47,Sebastien GOUDARD,EATT,Francia,M,SENIOR,utmb,2018
43,26:40:43,05:56:27,Katia FORI,COLUMBIA,Italia,F,VET-A,utmb,2018
44,26:41:21,05:57:05,Clement GUIBERT,NONE,Francia,M,SENIOR,utmb,2018
45,26:48:44,06:04:28,Juliette BLANCHET,TEAM VIBRAM,Francia,F,SENIOR,utmb,2018
46,27:03:40,06:19:24,Jordi CASADELLA GARDELLA,TRC ARESTA,España,M,VET-A,utmb,2018
47,27:07:20,06:23:04,Paolo PIANO,DELTA SPEDIZIONI,Italia,M,VET-A,utmb,2018
48,27:09:18,06:25:02,Serhii SAPIHA,TURE,Ucrania,M,VET-A,utmb,2018
49,27:11:36,06:27:20,Luca ARRO,NONE,Italia,M,SENIOR,utmb,2018
50,27:12:29,06:28:13,Dominick LAYFIELD,NONE,Estados Unidos,M,VET-A,utmb,2018
51,27:12:29,06:28:13,Jonas JOHANSSON,NONE,Suecia,M,SENIOR,utmb,2018
52,27:16:02,06:31:46,Benet POUS SOLER,APOSTOLS DE BACUS,España,M,SENIOR,utmb,2018
53,27:16:22,06:32:06,Matthieu MENANTEAU,NONE,Francia,M,VET-A,utmb,2018
54,27:19:36,06:35:20,Ildiko WERMESCHER,NONE,Hungría,F,VET-B,utmb,2018
55,27:22:11,06:37:55,Catherine BRADLEY,NONE,Estados Unidos,F,SENIOR,utmb,2018
56,27:22:30,06:38:14,Daniel ABLANEDO,AVIENTU SOLORUNNERS,España,M,VET-A,utmb,2018
57,27:23:20,06:39:04,Maria NIKOLOVA,NONE,Bulgaria,F,SENIOR,utmb,2018
58,27:24:40,06:40:24,Tony VIARD,CAHM RUNNING CONSEIL,Francia,M,SENIOR,utmb,2018
59,27:25:32,06:41:16,Eric TANG,NONE,Australia,M,SENIOR,utmb,2018
60,27:29:36,06:45:20,Andrew HOUGH,NONE,Nueva Zelandia,M,VET-A,utmb,2018
61,27:31:39,06:47:23,Kaci LICKTEIG,NONE,Estados Unidos,F,SENIOR,utmb,2018
62,27:31:57,06:47:41,Zsolt KOVACS,ACCENTURE,Rumania,M,SENIOR,utmb,2018
63,27:32:57,06:48:41,Florian FELCH,TEAM TRAIL MAGAZIN,Alemania,M,SENIOR,utmb,2018
64,27:33:26,06:49:10,Haifeng LI,TGJJ,China,M,VET-A,utmb,2018
65,27:35:11,06:50:55,Fernanda MACIEL,THE NORTH FACE RED BULL,Brasil,F,SENIOR,utmb,2018
66,27:44:36,07:00:20,Candide GABIOUD,ALPSXPERIENCE,Suiza,M,SENIOR,utmb,2018
67,27:45:45,07:01:29,David CAULET,NONE,Francia,M,SENIOR,utmb,2018
68,27:45:48,07:01:32,Clement HELIER,AO CHARENTON,Francia,M,SENIOR,utmb,2018
69,27:47:49,07:03:33,Ville MAKSIMAINEN,HOKA ONE ONE TEAM FINLAND,Finlandia,M,VET-A,utmb,2018
70,27:51:07,07:06:51,Sophie GRANT,BETA RUNNING TEAM,Reino Unido,F,SENIOR,utmb,2018
71,28:00:15,07:15:59,Guillaume KLEIN,ESTY,Francia,M,SENIOR,utmb,2018
72,28:09:44,07:25:28,Mariusz GEZELA,TJ EUFORIABIEGACZA.PL,Polonia,M,SENIOR,utmb,2018
73,28:10:03,07:25:47,Emilie LECOMTE,ASJ74,Francia,F,SENIOR,utmb,2018
74,28:12:07,07:27:51,Frederico CERDEIRA,MONSANTO RUNNING TEAM,Portugal,M,SENIOR,utmb,2018
75,28:20:23,07:36:07,Agustín BAVIERA PASCUAL,CORREMON TRAIL,España,M,SENIOR,utmb,2018
76,28:20:36,07:36:20,Eñaut SORARRAIN,OARGI,España,M,SENIOR,utmb,2018
77,28:20:48,07:36:32,Clement DUMONT,ASIA TRAIL,Francia,M,VET-A,utmb,2018
78,28:21:02,07:36:46,Riccardo TORTINI,SPIRITO TRAIL ,Italia,M,SENIOR,utmb,2018
79,28:21:05,07:36:49,Samir NADRI,CAP GARONNE,Francia,M,SENIOR,utmb,2018
80,28:24:16,07:40:00,Benjamin ACHARD,TÊTE D'OR RUNNERS ,Francia,M,SENIOR,utmb,2018
81,28:32:42,07:48:26,Nicolas GOUTTEVIN,TEAM ENDURANCE SHOP 13 ,Francia,M,SENIOR,utmb,2018
82,28:34:16,07:50:00,Tiago RIBEIRO,ORALKLASS-AMIGOS DO TRAIL,Portugal,M,SENIOR,utmb,2018
83,28:34:47,07:50:31,Julien TARISSAN,CAF ANNECY,Francia,M,SENIOR,utmb,2018
84,28:37:01,07:52:45,Roberto CUESTA CALVO,BURGALESES EN EL RUNNING. SPORTEATE.,España,M,SENIOR,utmb,2018
85,28:38:40,07:54:24,Fabien BARRAU,NONE,Francia,M,SENIOR,utmb,2018
86,28:38:57,07:54:41,Nathalie HENRIQUES,NONE,Francia,F,VET-A,utmb,2018
87,28:39:13,07:54:57,Johan GUSTAFSSON,NONE,Suecia,M,VET-A,utmb,2018
88,28:40:12,07:55:56,Krzysztof WAŁCZYK,NONE,Polonia,M,SENIOR,utmb,2018
89,28:40:57,07:56:41,Ali SELMOUNI,NONE,Argelia,M,SENIOR,utmb,2018
90,28:45:11,08:00:55,Alexander SASS,CMBM,Alemania,M,VET-A,utmb,2018
91,28:46:11,08:01:55,Olivier SORIANO,RACING LETI - ENDURANCE SHOP ECHIROLLES,Francia,M,VET-A,utmb,2018
92,28:48:43,08:04:27,Ludovic GIRARD,CAP BOLLENE,Francia,M,VET-A,utmb,2018
93,28:50:12,08:05:56,Teresa NIMES PEREZ,COMPRESSPORT INTERNACIONAL,España,F,SENIOR,utmb,2018
94,28:51:26,08:07:10,Lei TANG,NONE,Canadá,M,SENIOR,utmb,2018
95,28:52:10,08:07:54,Kaori NIWA,SALOMON,Japón,F,VET-A,utmb,2018
96,29:03:35,08:19:19,Marian KAMENDY,FORCARUNNING,Eslovaquia,M,VET-A,utmb,2018
97,29:06:51,08:22:35,Ivan GIORDANO,PODISTICA CANALET,Italia,M,SENIOR,utmb,2018
98,29:09:11,08:24:55,Benoit THIERY,NONE,Francia,M,SENIOR,utmb,2018
99,29:10:47,08:26:31,Alberto SAULO,TEAM MARGUAREIS,Italia,M,VET-A,utmb,2018
100,29:11:29,08:27:13,Daniele FORNONI,TRAILMARKET RACING TEAM,Italia,M,VET-A,utmb,2018
101,29:14:03,08:29:47,Andre VAN ZYL,NONE,Sudáfrica,M,SENIOR,utmb,2018
