posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1335,43:53:34,24:04:04,Julien COUTREAU,VILLIERS SPORT NATURE,Francia,M,VET-A,utmb,2022
1336,43:54:09,24:04:39,Daishi KOSHII,RBRGTRC,Japón,M,VET-A,utmb,2022
1337,43:54:25,24:04:55,William THOMAS,NONE,Francia,M,VET-B,utmb,2022
1338,43:54:48,24:05:18,Bruno FOURNIER,NONE,Francia,M,VET-B,utmb,2022
1339,43:55:57,24:06:27,Diana MOLIN,NONE,Francia,F,VET-A,utmb,2022
1340,43:57:52,24:08:22,Phil CAPE,STONE MASTER MARATHONERS,Reino Unido,M,VET-A,utmb,2022
1341,44:07:53,24:18:23,Jimenez,NONE,España,M,VET-A,utmb,2022
1342,43:58:02,24:08:32,Jamie RICKARD,NONE,Estados Unidos,M,VET-A,utmb,2022
1343,43:59:05,24:09:35,Brice DEHAYNIN,NONE,Francia,M,VET-B,utmb,2022
1344,43:59:18,24:09:48,Burim LECI,KTRA,Kosovo,M,VET-A,utmb,2022
1345,43:59:36,24:10:06,Alp YÖRÜK,TEKNOLOJIM,Turquía,M,VET-A,utmb,2022
1346,44:00:10,24:10:40,Ludovic FOSSEY,NONE,Francia,M,SENIOR,utmb,2022
1347,44:00:14,24:10:44,Josep TORRALBA,PUNK SANT JOAN,España,M,SENIOR,utmb,2022
1348,44:00:20,24:10:50,Tsutomu OMODERA,NONE,Japón,M,VET-B,utmb,2022
1349,44:00:27,24:10:57,Fung IU KIM,NONE,Hong Kong,M,VET-A,utmb,2022
1350,44:00:28,24:10:58,Yui LEUNG KIN,NONE,Hong Kong,M,VET-A,utmb,2022
1351,44:00:28,24:10:58,Yi NG WING,NONE,Hong Kong,F,SENIOR,utmb,2022
1352,44:01:01,24:11:31,Stuart MEIKLEJOHN,NONE,Nueva Zelandia,M,VET-A,utmb,2022
1353,44:01:17,24:11:47,Joan LEON,NONE,España,M,VET-B,utmb,2022
1354,44:01:33,24:12:03,James INNESS,NONE,Reino Unido,M,VET-A,utmb,2022
1355,44:02:05,24:12:35,Ruben HORTA HUGO,NONE,Argentina,M,VET-B,utmb,2022
1356,44:02:19,24:12:49,Kittipong YHOOYUED,ALTRA RED TEAM THAILAND,Tailandia,M,SENIOR,utmb,2022
1357,44:02:41,24:13:11,Takashi KAWABATA,CHAMP.REN,Japón,M,VET-A,utmb,2022
1358,44:03:35,24:14:05,Yvan GUTHLEBEN,S,Francia,M,VET-B,utmb,2022
1359,44:04:24,24:14:54,Luc LEGER,NONE,Francia,M,VET-B,utmb,2022
1360,44:05:09,24:15:39,Daniel KAALI,NONE,Estados Unidos,M,SENIOR,utmb,2022
1361,44:05:26,24:15:56,Laurent ZANIER,NONE,Bélgica,M,VET-A,utmb,2022
1362,44:05:39,24:16:09,Massimiliano OPPO,NONE,Italia,M,VET-A,utmb,2022
1363,44:06:00,24:16:30,John MEANEY,NONE,Estados Unidos,M,VET-A,utmb,2022
1364,44:07:03,24:17:33,Nicolas JACOB,NONE,Francia,M,VET-A,utmb,2022
1365,44:07:30,24:18:00,Yasushi IRIYAMA,NONE,Japón,M,SENIOR,utmb,2022
1366,44:08:12,24:18:42,Laurent ARSAC,NONE,Francia,M,VET-A,utmb,2022
1367,44:08:12,24:18:42,Annelise GENOUX,NONE,Francia,F,VET-A,utmb,2022
1368,44:08:51,24:19:21,Veronica DIAZ RODRIGUEZ GLADYS,NONE,Perú,F,VET-B,utmb,2022
1369,44:08:52,24:19:22,Eduardo HURTADO MARTÍNEZ,NONE,Perú,M,VET-A,utmb,2022
1370,44:09:15,24:19:45,Sérgio CEDANO,NONE,Brasil,M,VET-A,utmb,2022
1371,44:09:18,24:19:48,Sing POON LIN,NONE,Hong Kong,M,VET-B,utmb,2022
1372,44:09:22,24:19:52,Man LEUNG YIU,NONE,Hong Kong,M,VET-B,utmb,2022
1373,44:09:31,24:20:01,Kevin LOFTS,NONE,Reino Unido,M,VET-B,utmb,2022
1374,44:10:16,24:20:46,Frederic FORGE,NONE,Canadá,M,VET-B,utmb,2022
1375,44:11:27,24:21:57,Cédric ROUX,TOS ATHLE,Francia,M,VET-A,utmb,2022
1376,44:11:45,24:22:15,Julien TAXI,TEAM CHULLANKA,Francia,M,VET-A,utmb,2022
1377,44:11:51,24:22:21,Nicolas GUÉRIN,AL ECHIROLLES,Francia,M,VET-B,utmb,2022
1378,44:11:56,24:22:26,Cliff LI,NONE,Estados Unidos,M,VET-B,utmb,2022
1379,44:11:57,24:22:27,Arnaud BOUYAT,VERNEUI OXYGENE,Francia,M,VET-A,utmb,2022
1380,44:11:57,24:22:27,Alejandro CASTILLO GALLARDO,ANYERA CEUTA,España,M,VET-A,utmb,2022
1381,44:12:38,24:23:08,David LINDSAY,NONE,Reino Unido,M,VET-B,utmb,2022
1382,44:12:42,24:23:12,Joakim HOLMGREN,TEAM RUN TO THE HILLS,Suecia,M,VET-A,utmb,2022
1383,44:12:50,24:23:20,Maxime COLIN,MTNV,Francia,M,SENIOR,utmb,2022
1384,44:12:53,24:23:23,David PHILIPPS,NONE,Reino Unido,M,VET-A,utmb,2022
1385,44:12:56,24:23:26,Damian BARRETT,SPRINGFIELD STRIDERS,Reino Unido,M,VET-B,utmb,2022
1386,44:13:07,24:23:37,Jonas SUNDSTEDT,HAUT VELO,Suecia,M,VET-A,utmb,2022
1387,44:13:26,24:23:56,Laurent BRACHET,AIRBUS ELANCOURT,Francia,M,VET-B,utmb,2022
1388,44:13:41,24:24:11,Tetsuya UEKUSA,NONE,Japón,M,VET-B,utmb,2022
